,Date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,total
0,2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.65,18.31,30.95,38.8,50.35,61.24,67.79,74.1,80.21,82.82,84.57,85.45,88.5,84.14,85.66,83.26,83.05,84.14,85.22,82.17,82.61,78.46,76.29,72.8,70.62,65.6,60.59,55.14,52.75,42.06,34.0,26.15,19.62,15.04,11.77,8.28,2135.15
1,2022-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.43,17.45,27.85,37.41,51.55,57.36,65.05,72.12,76.27,79.81,81.05,83.14,83.14,82.72,83.14,82.72,81.05,82.1,83.34,82.3,78.77,72.95,71.7,69.21,62.35,59.02,53.0,48.22,44.89,37.21,32.42,28.06,20.37,15.17,12.05,8.73,2035.1
2,2022-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.84,13.41,22.23,30.21,39.88,44.13,51.25,57.71,62.8,65.0,69.07,71.28,69.92,69.24,70.26,65.67,67.89,65.0,63.47,61.61,58.72,56.34,56.01,51.77,50.74,46.67,46.5,43.28,41.07,35.13,29.19,23.25,17.99,13.07,10.02,7.3,1656.88
3,2022-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.09,9.55,15.55,22.49,29.27,34.96,39.43,44.82,48.97,51.75,55.91,59.14,59.6,59.45,59.91,56.84,60.06,57.14,58.68,55.75,56.06,53.91,51.14,50.21,52.36,51.29,51.6,47.44,45.43,43.43,38.04,29.57,19.72,13.86,10.48,7.24,1508.14
4,2022-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.91,16.66,27.7,37.15,49.54,57.41,67.33,72.96,80.17,81.29,88.04,85.79,86.7,85.79,87.59,86.24,87.59,85.34,85.79,86.46,85.12,81.06,80.61,77.01,74.53,69.8,67.33,61.92,58.1,50.88,40.08,33.33,27.02,18.24,13.28,10.13,2213.9
5,2022-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,19.37,31.26,39.61,52.16,61.19,67.57,76.82,79.9,85.63,88.26,86.28,88.26,88.26,87.6,86.06,86.72,83.42,82.76,82.76,79.68,78.36,74.62,71.31,70.0,63.61,60.75,54.37,50.18,46.0,37.2,29.06,20.69,15.19,11.22,7.49,2156.82
6,2022-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21,18.21,29.13,37.06,50.34,59.34,65.54,71.33,77.97,81.83,81.4,82.04,85.69,84.19,84.83,83.54,83.33,83.54,82.9,85.69,82.26,79.04,75.83,70.9,67.9,62.13,60.41,54.63,51.63,41.13,34.7,25.7,19.71,15.0,10.71,7.93,2099.72
7,2022-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.46,18.05,30.51,38.25,49.64,60.38,66.83,73.05,79.08,81.65,83.37,84.23,87.24,82.94,84.45,82.08,81.86,82.94,84.02,81.01,81.43,77.35,75.21,71.77,69.61,64.67,59.73,54.36,52.0,41.47,33.52,25.78,19.34,14.82,11.61,8.17,2104.89
8,2022-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.75,17.94,28.63,38.45,52.98,58.96,66.87,74.13,78.4,82.03,83.32,85.46,85.46,85.03,85.46,85.03,83.32,84.38,85.67,84.6,80.96,74.99,73.7,71.14,64.09,60.67,54.48,49.57,46.14,38.24,33.33,28.84,20.94,15.6,12.39,8.98,2091.89
9,2022-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.04,13.67,22.67,30.8,40.68,45.0,52.27,58.84,64.04,66.29,70.44,72.69,71.31,70.61,71.65,66.97,69.23,66.29,64.73,62.83,59.88,57.46,57.11,52.79,51.75,47.6,47.43,44.14,41.88,35.82,29.77,23.71,18.34,13.32,10.21,7.45,1689.7
